time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/iterations,train/clip_fraction,train/explained_variance,train/value_loss,train/clip_range,train/learning_rate,train/loss,train/entropy_loss,train/n_updates,train/policy_gradient_loss,train/approx_kl
116736,188,20.42,71.83,618,57,0.053857421875,0.5046831369400024,12.115827739238739,0.2,0.0003,5.966668128967285,-0.23461391106247903,560,-0.019693844462744893,0.006118557
118784,191,20.19,75.94,621,58,0.05,0.4896915555000305,11.490174269676208,0.2,0.0003,6.2652716636657715,-0.22124524917453528,570,-0.017403363122139127,0.0058114664
120832,194,20.19,83.74,621,59,0.047314453125,0.545358419418335,10.601405292749405,0.2,0.0003,4.535102844238281,-0.2190701486542821,580,-0.01695715684327297,0.0048755985
122880,197,21.24,78.59,621,60,0.045849609375,0.5422989130020142,11.00252743959427,0.2,0.0003,5.490006923675537,-0.21483548246324063,590,-0.017287356912856922,0.0048072245
124928,200,20.39,82.21,623,61,0.043896484375,0.47037553787231445,11.140392565727234,0.2,0.0003,5.238581657409668,-0.2026406552642584,600,-0.018990949692670255,0.005481801
126976,203,20.38,76.59,624,62,0.05048828125,0.5155471563339233,10.367850089073182,0.2,0.0003,4.899499893188477,-0.1983709203079343,610,-0.017933595780050382,0.005423622
129024,206,20.79,78.32,625,63,0.040087890625,0.49594515562057495,10.368856555223465,0.2,0.0003,5.198736667633057,-0.1911379646509886,620,-0.016571837064111604,0.004412171
131072,209,21.55,87.85,626,64,0.04091796875,0.5565689206123352,9.907266026735305,0.2,0.0003,4.9690728187561035,-0.1840277850627899,630,-0.01653918640804477,0.004379562
133120,212,18.75,78.84,625,65,0.050537109375,0.529430627822876,11.186683464050294,0.2,0.0003,5.362306594848633,-0.18792698588222265,640,-0.01986486391397193,0.008210244
135168,215,20.72,80.25,627,66,0.040771484375,0.548675537109375,9.93340557217598,0.2,0.0003,5.232357025146484,-0.19161123409867287,650,-0.014295158465392888,0.0046573165
137216,218,18.58,75.5,629,67,0.03408203125,0.6075373888015747,9.583721160888672,0.2,0.0003,3.89426851272583,-0.16698613483458757,660,-0.013541776590864174,0.0042208675
139264,221,22.25,83.27,629,68,0.045947265625,0.5760917663574219,9.707260429859161,0.2,0.0003,5.135029315948486,-0.16848695930093527,670,-0.01686764603946358,0.0051855156
141312,224,20.29,80.85,630,69,0.04658203125,0.5430023670196533,9.974622106552124,0.2,0.0003,4.697473049163818,-0.17031533010303973,680,-0.018030544661451132,0.006253914
143360,227,19.89,77.7,629,70,0.04189453125,0.5513095855712891,9.510582560300827,0.2,0.0003,4.667048454284668,-0.16510757375508547,690,-0.01571487321634777,0.0053391294
145408,230,21.29,81.31,631,71,0.041455078125,0.5603448748588562,9.104274785518646,0.2,0.0003,4.762660026550293,-0.1660297891125083,700,-0.015210229175863788,0.0046627726
147456,232,19.49,80.22,633,72,0.034716796875,0.5901042222976685,9.107320392131806,0.2,0.0003,4.652262210845947,-0.15111501328647137,710,-0.013773905846755951,0.0037375689
149504,235,18.94,80.62,634,73,0.036474609375,0.6197013854980469,8.904082179069519,0.2,0.0003,4.651609420776367,-0.15339061636477708,720,-0.013123690674547106,0.0035574164
151552,238,19.75,84.57,636,74,0.03935546875,0.577531635761261,10.564039969444275,0.2,0.0003,4.581913471221924,-0.1576984876766801,730,-0.015229765942785889,0.004099499
153600,240,21.3,79.67,637,75,0.0376953125,0.5842876434326172,9.225029546022416,0.2,0.0003,3.8517003059387207,-0.14482834935188293,740,-0.014168082730611787,0.0036355902
155648,244,20.5,83.45,637,76,0.0373046875,0.5976100564002991,8.679854452610016,0.2,0.0003,4.7891130447387695,-0.13663049777969719,750,-0.01642158713657409,0.0040737092
157696,246,20.76,80.03,639,77,0.0392578125,0.5842946767807007,8.886985164880752,0.2,0.0003,3.9056200981140137,-0.14286919459700584,760,-0.014950470178155229,0.0043692375
159744,249,19.54,79.46,641,78,0.0451171875,0.5234907865524292,9.904051387310028,0.2,0.0003,5.377279758453369,-0.14841611161828042,770,-0.016854951067944057,0.0066887923
161792,251,19.39,78.67,642,79,0.04228515625,0.5554172992706299,9.985783553123474,0.2,0.0003,4.912510871887207,-0.14369000550359487,780,-0.01646252548089251,0.0068340856
163840,254,19.7,82.85,644,80,0.044287109375,0.5935519933700562,8.63634051680565,0.2,0.0003,3.987553596496582,-0.13763996995985509,790,-0.01507459384156391,0.00526602
165888,257,20.51,75.5,644,81,0.03994140625,0.5784780979156494,8.672506749629974,0.2,0.0003,4.251486301422119,-0.13624553279951215,800,-0.015331414539832621,0.0056982855
167936,260,20.32,80.88,644,82,0.042138671875,0.5403255820274353,9.561088430881501,0.2,0.0003,4.239694118499756,-0.13030180055648088,810,-0.019616573554230854,0.0065986426
169984,263,19.69,80.5,645,83,0.052294921875,0.6228567361831665,8.903297317028045,0.2,0.0003,3.367518663406372,-0.13300835946574807,820,-0.01881956174620427,0.008422047
172032,266,21.12,86.87,646,84,0.044775390625,0.582896888256073,10.16295846104622,0.2,0.0003,5.425613880157471,-0.13112107710912824,830,-0.0165980271238368,0.006924395
174080,268,19.57,83.5,647,85,0.042041015625,0.6633511781692505,8.147481089830398,0.2,0.0003,4.156243801116943,-0.12311260364949703,840,-0.016328252328094095,0.00645989
176128,271,20.6,86.11,648,86,0.034716796875,0.6006867289543152,9.395540249347686,0.2,0.0003,4.646763324737549,-0.12562330877408384,850,-0.013594594754977152,0.0040672715
178176,275,20.71,85.04,647,87,0.029345703125,0.6427191495895386,7.986561286449432,0.2,0.0003,4.314435005187988,-0.1207673691213131,860,-0.012896935822209344,0.003259537
180224,277,21.19,85.45,648,88,0.03525390625,0.6444606184959412,8.397665196657181,0.2,0.0003,4.357454299926758,-0.12041687546297908,870,-0.013744224861147814,0.0068933275
182272,281,20.85,83.71,648,89,0.038037109375,0.6066954731941223,8.967083430290222,0.2,0.0003,4.489988327026367,-0.12453970648348331,880,-0.012056979630142451,0.0056689484
184320,284,19.63,86.96,648,90,0.042431640625,0.6319183111190796,8.423794853687287,0.2,0.0003,3.537393569946289,-0.1212723228149116,890,-0.014261907845502719,0.0060304184
186368,286,21.03,83.38,649,91,0.03505859375,0.5914109349250793,9.150151574611664,0.2,0.0003,4.865649223327637,-0.13345453143119812,900,-0.013138517964398489,0.0053930604
